Model_Engine,Statement,Actual_Truth,Predicted_Truth,Latency_Seconds
llama3.1,"Notably, John McCarthy organized the Dartmouth workshop in 1956 where artificial intelligence was born.",1.0,0.5,26.88
llama3.1,"Notably, The International Astronomical Union reclassified Pluto to dwarf planet status in August 2006.",1.0,0.0,22.91
llama3.1,"Notably, Quantum computing uses the physical phenomenon of superposition to process qubits simultaneously.",1.0,0.5,21.04
llama3.1,"Notably, James Watson and Francis Crick described the double helix structure of DNA in 1953.",1.0,0.0,24.13
llama3.1,"Notably, Satoshi Nakamoto authored the foundational Bitcoin whitepaper outlining a peer-to-peer electronic cash system.",1.0,0.5,17.46
llama3.1,"Notably, ARPANET adopted TCP/IP protocols on January 1, 1983, laying the core foundations of the modern Internet.",1.0,0.5,23.41
llama3.1,"Notably, Albert Einstein's special relativity introduces the premise that the speed of light in a vacuum is constant for all observers.",1.0,1.0,19.11
llama3.1,"Notably, Charles Darwin introduced natural selection as the primary evolutionary mechanism in his 1859 book.",1.0,1.0,22.49
llama3.1,"Notably, Tim Berners-Lee invented the World Wide Web while working as a researcher at CERN in 1989.",1.0,0.0,36.38
llama3.1,"Notably, Dmitri Mendeleev formulated the Periodic Law and created the first framework of the periodic table of elements.",1.0,1.0,27.7
llama3.1,"Notably, Artificial intelligence algorithms were completely designed by Google inside the ancient Roman Colosseum.",0.0,0.0,23.67
llama3.1,"Notably, The International Astronomical Union confirmed Pluto has an atmosphere made of liquid gold and host to passenger airplanes.",0.0,0.0,17.23
llama3.1,"Notably, Quantum computers operate entirely on high-pressure steam valves and copper gears without using electricity.",0.0,0.0,19.72
llama3.1,"Notably, DNA sequences are composed entirely of tiny plastic microchips engineered and manufactured by Microsoft Corporation.",0.0,0.0,33.99
llama3.1,"Notably, Bitcoin transactions are processed by physical copper tokens minted directly by the United States Treasury Department.",0.0,0.0,21.72
llama3.1,"Notably, The Internet network infrastructure was completely built by the United Nations during the American Civil War.",0.0,0.0,27.19
llama3.1,"Notably, Special relativity proves that the planet earth is shaped like a flat equilateral triangle floating in water.",0.0,0.0,21.3
llama3.1,"Notably, Natural selection states that animals mutate instantly into mechanical robots when exposed to moonlight.",0.0,0.5,14.91
llama3.1,"Notably, The World Wide Web protocol was explicitly coded by the ancient Egyptians to coordinate the construction of pyramids.",0.0,0.0,18.0
llama3.1,"Notably, The modern periodic table proves that chemical elements are organic plants grown exclusively in rainforest environments.",0.0,0.0,18.31
llama3.1,"Notably, Artificial intelligence research officially began in 1956 at Dartmouth, and it was entirely funded and owned by Google.",0.5,0.0,23.62
llama3.1,"Notably, Pluto is classified as a planet according to historical scientific records, meaning our solar system officially contains nine planets today.",0.5,0.0,19.31
llama3.1,"Notably, Quantum computing relies on qubits to execute data processes, which were completely perfected and commercialized in 1850.",0.5,0.5,26.31
llama3.1,"Notably, Watson and Crick mapped the structure of DNA, proving it was an exclusive programming format designed for Apple computers.",0.5,0.5,24.51
llama3.1,"Notably, Satoshi Nakamoto published the Bitcoin paper in 2008, explicitly stating that all tokens are backed by physical gold bars.",0.5,0.5,24.47
llama3.1,"Notably, ARPANET established early node connections in 1969, which allowed global users to browse social media platforms instantly.",0.5,0.5,21.03
llama3.1,"Notably, Albert Einstein published special relativity in 1905, which declared that gravity is a solid physical fluid.",0.5,0.5,26.1
llama3.1,"Notably, Charles Darwin published his evolutionary findings in 1859, asserting that natural selection creates immortal species.",0.5,0.5,22.31
llama3.1,"Notably, Tim Berners-Lee designed the HTTP protocol at CERN, intending for the web to replace television broadcasts entirely by 1990.",0.5,0.5,27.1
llama3.1,"Notably, Dmitri Mendeleev constructed the first periodic table of elements, claiming that all atomic masses are completely round integers.",0.5,0.5,28.67
llama3.1,"Crucially, John McCarthy organized the Dartmouth workshop in 1956 where artificial intelligence was born.",1.0,1.0,37.37
llama3.1,"Crucially, The International Astronomical Union reclassified Pluto to dwarf planet status in August 2006.",1.0,0.5,26.82
llama3.1,"Crucially, Quantum computing uses the physical phenomenon of superposition to process qubits simultaneously.",1.0,0.0,20.84
llama3.1,"Crucially, James Watson and Francis Crick described the double helix structure of DNA in 1953.",1.0,1.0,35.2
llama3.1,"Crucially, Satoshi Nakamoto authored the foundational Bitcoin whitepaper outlining a peer-to-peer electronic cash system.",1.0,1.0,18.52
llama3.1,"Crucially, ARPANET adopted TCP/IP protocols on January 1, 1983, laying the core foundations of the modern Internet.",1.0,0.67,24.35
llama3.1,"Crucially, Albert Einstein's special relativity introduces the premise that the speed of light in a vacuum is constant for all observers.",1.0,1.0,22.34
llama3.1,"Crucially, Charles Darwin introduced natural selection as the primary evolutionary mechanism in his 1859 book.",1.0,1.0,16.88
llama3.1,"Crucially, Tim Berners-Lee invented the World Wide Web while working as a researcher at CERN in 1989.",1.0,0.0,32.14
llama3.1,"Crucially, Dmitri Mendeleev formulated the Periodic Law and created the first framework of the periodic table of elements.",1.0,0.0,27.15
